2023-06-02T08:12:24.640Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:24.770Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:24.865Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:24.995Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:25.095Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:25.262Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:25.379Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:25.497Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:25.614Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:25.827Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:25.896Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:25.994Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:12:26.050Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:12:26.166Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:13:10.192Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:13:10.335Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:13:57.054Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:13:57.186Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:14:30.930Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:14:31.099Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:15:25.262Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:15:25.420Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:15:53.753Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:15:53.939Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:19:54.516Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:19:54.655Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:19:56.667Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:19:56.789Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:21:17.574Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:21:17.756Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:22:27.001Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:22:27.107Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:22:52.105Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:22:52.199Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:22:54.255Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:22:54.595Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:22:55.050Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:22:55.159Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:22:55.655Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:22:55.815Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:22:55.997Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:22:56.117Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:22:56.196Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:22:56.368Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:22:56.707Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:22:56.844Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:22:56.951Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:22:57.097Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:23:59.572Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:23:59.676Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:25:01.417Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:25:01.570Z | preview.controller.myssqlPreviewTable | INFO | MSSQL Preview successfull 
2023-06-02T08:25:09.791Z | preview.controller.myssqlPreviewTable | ERROR | Error connecting to MSSQL database 
2023-06-02T08:25:37.156Z | task.controller.findALLTasksForPipelineID | INFO | Retrieving the task for pipeline ID  
2023-06-02T08:25:37.402Z | configuration.controller.getTaskForm | INFO | retrieving task Form View 
2023-06-02T08:25:59.337Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:25:59.444Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving metadata information 
2023-06-02T08:32:39.078Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:32:39.205Z | preview.controller.myssqlPreviewTable | INFO | MSSQL Preview successfull 
2023-06-02T08:32:53.229Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:32:53.356Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:35:17.416Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:35:17.518Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving metadata information 
2023-06-02T08:35:45.822Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:35:45.851Z | preview.controller.myssqlPreviewTable | INFO | MSSQL Preview successfull 
2023-06-02T08:36:29.745Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:36:29.850Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:36:34.496Z | task.controller.findALLTasksForPipelineID | INFO | Retrieving the task for pipeline ID  
2023-06-02T08:36:34.722Z | configuration.controller.getTaskForm | INFO | retrieving task Form View 
2023-06-02T08:39:15.131Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:39:15.290Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:40:07.793Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:40:07.904Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:40:35.076Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:40:35.201Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:40:37.593Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:40:37.695Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:40:41.168Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:40:41.284Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:41:16.373Z | preview.controller.myssqlPreviewTable | INFO | successfully connected to MSSQL DB 
2023-06-02T08:41:16.469Z | preview.controller.myssqlPreviewTable | ERROR | Error retrieving table rows 
2023-06-02T08:41:49.674Z | task.controller.update | INFO | Task was updated successfully 
2023-06-02T08:41:49.887Z | task.controller.findALLTasksForPipelineID | INFO | Retrieving the task for pipeline ID  
2023-06-02T08:42:09.856Z | connection.controller.findallwithdetails | INFO | retrieving the connections list 
2023-06-02T08:42:09.887Z | configuration.controller.getConnectionForm | INFO | retrieving configuration Form View 
2023-06-02T08:42:59.144Z | testconnection.controller.postgreSqlConnection | INFO | connection successfull 
